poem,poet
گر هزاران جان لبش را هدیه آرم گویدم \ نزد عیسا تحفه چون آری همی انجیل را,saadi
زلف چون پرچین کند خواری نماید مشک را \ غمزه چون بر هم زند قیمت فزاید نیل را,saadi
چون وصال یار نبود گو دل و جانم مباش \ چون شه و فرزین نباشد خاک بر سر فیل را,khaghani
از دو چشمش تیز گردد ساحری ابلیس را \ وز لبانش کند گردد تیغ عزراییل را,sanaee
گر چه زمزم را پدید آورد هم نامش به پای \ او به مویی هم روان کرد از دو چشمم نیل را,khaghani
جان و دل کردم فدای خاکپایش بهر آنک \ از برای کعبه چاکر بود باید میل را,khaghani
آب خورشید و مه اکنون برده شد کو بر فروخت \ در خم زلف از برای عاشقان قندیل را,sanaee
ای سنایی گر هوای خوبرویان می کنی \ از نخستت ساخت باید دبه و زنبیل را,sanaee
ساقیا دل شد پر از تیمار پر کن جام را \ بر کف ما نه سه باده گردش اجرام را,sanaee
تا زمانی بی زمانه جام می بر کف نهیم \ بشکنیم اندر زمانه گردش ایام را,saadi
جان و دل در جام کن تا جان به جام اندر نهیم \ همچو خون دل نهاده ای پسر صد جام را,sanaee
دام کن بر طرف بام از حلقه های زلف خویش \ چون که جان در جام کردی تنگ در کش جام را,sanaee
کاش کیکاووس پر کن زان سهیل شامیان \ زیر خط حکم درکش ملک زال و سام را,khaghani
چرخ بی آرام را اندر جهان آرام نیست \ بند کن در می پرستی چرخ بی آرام را,saadi
ساقیا دانی که مخموریم در ده جام را \ ساعتی آرام ده این عمر بی آرام را,saadi
میر مجلس چون تو باشی با جماعت در نگر \ خام در ده پخته را و پخته در ده خام را,saadi
قالب فرزند آدم آز را منزل شدست \ انده پیشی و بیشی تیره کرد ایام را,khaghani
نه بهشت از ما تهی گردد نه دوزخ پر شود \ ساقیا در ده شراب ارغوانی فام را,khaghani
قیل و قال بایزید و شبلی و کرخی چه سود \ کار کار خویش دان اندر نورد این نام را,khaghani
تا زمانی ما برون از خاک آدم دم زنیم \ ننگ و نامی نیست بر ما هیچ خاص و عام را,saadi
من کیم کاندیشه تو هم نفس باشد مرا \ یا تمنای وصال چون تو کس باشد مرا,khaghani
گر بود شایسته غم خوردن تو جان من \ این نصیب از دولت عشق تو بس باشد مرا,sanaee
گر نه عشقت سایه من شد چرا هر گه که من \ روی بر تابم ازو پویان ز پس باشد مرا,khaghani
هرنفس کانرا بیاد روزگار تو زنم \ جمله عالم طفیل آن نفس باشد مرا,khaghani
هز رمان ز امید وصل تو دل خود خوش کنم \ باز گویم نه چه جای این هوس باشد مرا,sanaee
چون خیال خاکپایت می نبیند چشم من \ بر وصال تو چگونه دست رس باشد مرا,sanaee
نیست بی دیدار تو در دل شکیبایی مرا \ نیست بی گفتار تو در دل توانایی مرا,saadi
در وصالت بودم از صفرا و از سودا تهی \ کرد هجران تو صفرایی و سودایی مرا,saadi
عشق تو هر شب برانگیزد ز جانم رستخیز \ چون تو بگریزی و بگذاری به تنهایی مرا,saadi
چشمه خورشید را از ذره نشناسم همی \ نیست گویی ذره ای دردیده بینایی مرا,saadi
از تو هر جایی ننالم تو هر جایی شدی \ نیست جای ناله از معشوق هر جایی مرا,khaghani
گاه پیری آمد از عشق تو بر رویم پدید \ آنچه پنهان بود در دل گاه برنایی مرا,saadi
کرد معزولم زمانه گاه دانایی و عقل \ با بلای تو چه سود از عقل و دانایی مرا,saadi
ای به بر کرده بی وفایی را \ منقطع کرده آشنایی را,sanaee
بر ما امشبی قناعت کن \ بنما خلق انبیایی را,khaghani
ای رخت بستده ز ماه و ز مهر \ خوبی و لطف و روشنایی را,saadi
زود در گردنم فگن دلقی \ برکش این رومی و بهایی را,saadi
چنگی و بربطی به گاه نشاط \ جمله یاری دهند نایی را,sanaee
با چنان روی و با چنان زلفین \ منهزم کرده ای ختایی را,saadi
آتشی نزد ماست خیز و بیار \ آبی و خاکی و هوایی را,khaghani
بار ندهند نزد ما به صبوح \ هیچ بیگانه مرایی را,khaghani
چون بود یار زشت پر معنی \ چکنم جور هر کجایی را,khaghani
چو شدی مست جای خواب بساز \ وز میان بانگ زن سنایی را,saadi
مرحبا مرحبا برای هلالا \ آسمان را نمای کل کمالا,sanaee
چند ازین پرده ز آفتاب برون آی \ جان ما را بخر ز دست خیالا,khaghani
اندر آی اندر آی تا بشناسیم \ از جمال تو حال را ز محالا,sanaee
ای همه روی بر خرام به منظر \ تا رهد دیده زین شب همه خالا,saadi
اشهب صبح در گریزد از شرم \ چون بجنبد ز ابلق تو دوالا,saadi
روشنی را نشان به اوج شرف بر \ تیرگی را فگن به برج و بالا,saadi
ای ز پرده زمانه آمده اینجا \ مرحبا مرحبا تعالی تعالا,sanaee
عقل و دینمان ببر تراست مباحا \ جان و دلمان ببر تراست حلالا,khaghani
تا سنایی چو دید گوید ای مه \ حبذا و جهک المبارک فالا,sanaee
ای همه خوبی در آغوش شما \ قبله جانها بر و دوش شما,saadi
ای تماشاگه عقل نور پاش \ در میان لعل خاموش شما,sanaee
وی امانت جای چرخ سبز پوش \ بر کران چشمه نوش شما,sanaee
آهوان در بزم شیران در شکار \ بنده آن خواب خرگوش شما,sanaee
آب مشک و باد عنبر برد پاک \ بوی شمشاد قصب پوش شما,sanaee
کار ما کردست در هم چون زره \ جوشن مشکین پر جوش شما,saadi
چند خواهد گفت ما را نوش نوش \ آن لب نوشین می نوش شما,saadi
چندمان چون چشم خود خواهید مست \ ای به بی هوشی همه هوش شما,khaghani
صد چو او در عاشقیها باشدی \ همچو او حیران و مدهوش شما,khaghani
حلقه چون دارند بر چشمش جهان \ ای سنایی حلقه در گوش شما,sanaee
چون سنایی عاشقی تا کی بود \ با چنین یاری فراموش شما,sanaee
ای ز عشقت روح را آزارها \ بر در تو عشق را بازارها,khaghani
ای ز شکر منت دیدار تو \ دیده بر گردن دل بارها,sanaee
فتنه را در عالم آشوب و شور \ با سر زلفین تو اسرارها,sanaee
عاشقان در خدمت زلف تواند \ از کمر بر ساخته زنارها,saadi
نیستم با درد عشقت لحظه ای \ خالی از غمها و از تیمارها,khaghani
بر امید روی چون گلبرگ تو \ می نهم جان را و دل را خارها,khaghani
تا سنایی بر حدیث چرب تست \ غره چون کفتار بر گفتارها,sanaee
دارد از باد هوس آبی بروی \ با خیال خاک کویت کارها,khaghani
ای از بنفشه ساخته بر گل مثالها \ در آفتاب کرده ز عنبر کلالها,sanaee
هاروت تو ز معجزه دارد لیلها \ ماروت تو ز شعبده دارد مثالها,sanaee
هر روز بامداد برآیی و بر زنی \ از مشک سوده بر سمن تازه خالها,saadi
ای کاشکی ز خواسته مفلس نبودمی \ تا کردمی فدای جمال تو مالها,sanaee
نی بر امید فضل گذارم همی جهان \ آخر کند خدای دگرگونه حالها,sanaee
ما باز دگر باره برستیم ز غمها \ در بادیه عشق نهادیم قدمها,sanaee
کندیم ز دل بیخ هواها و هوسها \ دادیم به خود راه بلاها و المها,sanaee
اول به تکلف بنوشتیم کتبها \ و آخر ز تحیر بشکستیم قلمها,khaghani
لبیک زدیم از سر دعوی چو سنایی \ بر عقل زدیم از جهت عجز رقمها,saadi
اسباب صنمهاست چو احرام گرفتیم \ در شرط نباشد که پرستیم صنمها,khaghani
فریاد از آن دو چشمک جادوی دلفریب \ فریاد از آن دو کافر غازی با نهیب,khaghani
این همبر دو ترکش دلگیر جان ستان \ وان پیش دو شمامه کافور یا دو سیب,sanaee
بردوش غایه کش او زهره می رود \ چون کیقباد و قیصر پانصدش در رکیب,sanaee
یوسف نبود هرگز چون او به نیکویی \ چون سامری هزارش چاکر گه فریب,khaghani
آسیب عاشقی و غم عشق و گمرهی \ تا روی او بدید پس آن طرفه ها و زیب,saadi
غمخانه برگزید و ره عشق و گمرهی \ هر روز می برآرد نوعی دگر ز جیب,saadi
بسترد و گفت چون که سنایی همه ز جهل \ بنبشت در هوای غم عشق صد کتیب,sanaee
از آن می خوردن عشقست دایم کار من هر شب \ که بی من در خراباتست دایم یار من هر شب,khaghani
بتم را عیش و قلاشیست بی من کار هر روزی \ خروش و ناله و زاریست بی او کار من هر شب,khaghani
من آن رهبان خود نامم من آن قلاش خود کامم \ که دستوری بود ابلیس را کردار من هر شب,khaghani
برهنه پا و سر زانم که دایم در خراباتم \ همی باشد گرو هم کفش و هم دستار من هر شب,sanaee
همه شب مست و مخمورم به عشق آن بت کافر \ مغان دایم برند آتش ز بیت النار من هر شب,saadi
مرا گوید به عشق اندر چرا چندین همی نالی \ نگار من چو بیند چشم گوهر بار من هر شب,sanaee
دو صد زنار دارم بر میان بسته به روم اندر \ همی بافند رهبانان مگر زنار من هر شب,sanaee
ای لعبت صافی صفات ای خوشتر از آب حیات \ هستی درین آخر زمان این منکران را معجزات,khaghani
هم دیده داری هم قدم هم نور داری هم ظلم \ در هزل وجد ای محتشم هم کعبه گردی هم منات,sanaee
حسن ترا بینم فزون خلق ترا بینم زبون \ چون آمد از جنت برون چون تو نگاری بی برات,khaghani
در نارم از گلزار تو بیزارم از آزار تو \ یک دیدن از دیدار تو خوشتر ز کل کاینات,sanaee
هر گه که بگشایی دهن گردد جهان پر نسترن \ بر تو ثنا گوید چو من ریگ و مطر سنگ و نبات,sanaee
عالی چو کعبه کوی تو نه خاکپای روی تو \ بر دو لب خوشبوی تو جان را به دل دارد حیات,sanaee
برهان آن نوشین لبت چون روز گرداند شبت \ وان خالها بر غبغبت تابان چو از گردون بنات,khaghani
بر ما لبت دعوت کنی بر ما سخن حجت کنی \ وقتی که جان غارت کنی چون صوفیان در ده صلات,saadi
باز ار بکشتی عاجزی بنمای از لب معجزی \ چون از عزی نبود عزی لا را بزن بر روی لات,sanaee
غمهات بر ما جمله شد بغداد همچون حله شد \ یک دیده اینجا دجله شد یک دیده آنجا شد فرات,saadi
جان سنایی مر ترا از وی حذر کردن چرا \ از تو گذر نبود ورا هم در حیات و هم ممات,sanaee
ای چون ملک گه سامری وی چون فلک گه ساحری \ تا بر تو خوانم یک سری الباقیات الصالحات,khaghani
دوش مرا عشق تو ز جامه برانگیخت \ بی عدد از دیدگانم اشگ فرو ریخت,sanaee
دست یکی کرد با صبوری و خوابم \ آن ز دل از دو دیده یکسر بگریخت,khaghani
باد جدا کرد زلفکان تو از هم \ مشک سیه با گل سپید برآمیخت,khaghani
مشک همی بیخت زلف تو همه شب دوش \ اشگ همی بیختم چو مشک همی بیخت,sanaee
بس بود این باد سرد باده نخواهم \ کش دل مسکین به دام ذره در آویخت,saadi
این رنگ نگر که زلفش آمیخت \ وین فتنه نگر که چشمش انگیخت,sanaee
وین عشوه نگر که چشم او داد \ دل برد و به جانم اندر آمیخت,khaghani
بگریخت دلم ز تیر مژگانش \ در دام سر دو زلفش آویخت,saadi
افتاد به دام زلف آن بت \ هر دل که ز چشمکانش بگریخت,saadi
بفروخت دل من آتش عشق \ وانگاه بدین سرم فرو ریخت,sanaee
بر خاک نهم به پیش آن روی \ کین عشق مرا چو خاک بر بیخت,saadi
تا نقش خیال دوست با ماست \ ما را همه عمر خود تماشاست,khaghani
آنجا که جمال دلبر آمد \ والله که میان خانه صحراست,saadi
وانجا که مراد دل برآمد \ یک خار به از هزار خرماست,sanaee
گر چه نفس هوا ز مشکست \ ورچه سلب زمین ز دیباست,khaghani
هر چند شکوفه بر درختان \ چون دو لب دوست پر ثریاست,khaghani
هر چند میان کوه لاله \ چون دیده میان روی حوراست,khaghani
چون دولت عاشقی در آمد \ اینها همه از میانه برخاست,sanaee
هرگز نشود به وصل مغرور \ هر دیده که در فراق بیناست,sanaee
اکنون که ز باغ زاغ کم شد \ بلبل ز گل آشیانه آراست,khaghani
بر هر سر شاخ عندلیبی ست \ زین شکر که زاغ کم شد و کاست,sanaee
فریاد همی کند که باری \ امروز زمانه نوبت ماست,khaghani
از عشق روی دوست حدیثی به دست ماست \ صیدیست بس شگرف نه در خورد شست ماست,sanaee
میدان مهر او نه به کام سمند ماست \ درع وفای او نه به بالای پست ماست,saadi
دیریست تا به یادش می نوش می کنم \ کس را نگفت او که فلان مرد مست ماست,saadi
با پاسبان کویش در خاک می رویم \ هر چند فرق فرقد جای نشست ماست,sanaee
چون مات برد ماست همه کس حریف ماست \ وانجا که نیستیست همه عین هست ماست,sanaee
ی مسلمانان مرا در عشق آن بت غیرتست \ عشقبازی نیست کاین خود حیرت اندر حیرتست,sanaee
عشق دریای محیط و آب دریا آتشست \ موجها آید که گویی کوههای ظلمتست,sanaee
در میان لجه اش سیصد نهنگ داوری \ بر کران ساحلش صد اژدهای هیبتست,sanaee
کشتیش از اندهان ولنگرش از صابری \ بادبانش رو نهاده سوی باد آفتست,sanaee
مر مرا بی من در آن دریای ژرف انداخته \ بر مثال رادمردی کش لباس خلتست,sanaee
مرده بودم غرقه گشتم ای عجب زنده شدم \ گوهری آمد به دستم کش دو گیتی قیمتست,sanaee
ماهرویا در جهان آوازه تست \ کارهای عاشقان ناساخته از ساز تست,sanaee
هر کجا نظمیست شیرین قصه های عشق تست \ هر کجا نثریست زیبا نامهای ناز تست,khaghani
باز عشقت جمله باز آن را چو تیهو صید کرد \ هست عالی همت آن بازی که صید باز تست,saadi
صدهزاران دل فدا بادا دلی را کو ز عشق \ سال و ماه و روز و شب مشغول شاهد باز تست,sanaee
دلبرا دلهای مردان جمله ملک غنج تست \ گلرخا جانهای پاکان جمله ملک ناز تست,khaghani
آسمان تند و سرکش زیر دست و رام تست \ روزگار تند و توسن دایه انباز تست,sanaee
هر کجا چشمیست بینا بارگاه عشق تست \ هر کجا گوشیست والا عاشق آواز تست,saadi
تا گل لعل روی بنمودست \ بلبل از خرمی نیاسودست,sanaee
دیرگاهست تا چو من بلبل \ عاشق بوستان و گل بودست,sanaee
روز و شب گر بنغنوم چه عجب \ پیش معشوق کس بنغنودست,khaghani
من غلام زبان آن بلبل \ کو گل لعل روش بستودست,sanaee
ساقیا وقت گل چو گل می ده \ وقت گل تو به کس نفرمودست,saadi
این چه جمالست و ناز کز تو در ایام تست \ وین چه کمالست باز کز شرف نام تست,saadi
جان همه جانها کوثر و تسنیم تست \ نقل همه نقلها پسته و بادام تست,saadi
سرمه چشم سپهر تربت درگاه تست \ حلقه گوش سروش صدمه پیغام تست,khaghani
تکیه گه جان و دل گه رخ و گه زلف تست \ بوسه گه چشم و لب گه در و گه بام تست,saadi
تقویت عاقلان لطف به تقدیر تست \ تربیت عاشقان ناز به اندام تست,sanaee
تا تو به شوخی گری پخته شود کار خام \ کانکه درین روزگار سوخته بر خام تست,sanaee
لهو و هوس را همی عشق شمردند خلق \ عشق نه آنست چیست آنکه به هنگام تست,saadi
گام برون نه یکی کز پی بوسیدنش \ مردمک دیده ها منتظر گام تست,khaghani
طبع سناییت را توسنی اندر سرست \ رایض او تا تویی توسن او رام تست,saadi
تا هلاک عاشقان از طره شبرنگ تست \ وای مسکین عاشقی کو را دل اندر چنگ تست,khaghani
عاشق مسکین چه داند کرد با نیرنگ تو \ جادوی بلبل اسیر چشم پر نیرنگ تست,khaghani
نافه آهو غلام زلف عنبر بوی تست \ عنبر سارا رهین خط سبز از رنگ تست,sanaee
تا نهفته مشک باشد مر ترا در زیر سیم \ دستهای عاشقان یکباره زیر سنگ تست,saadi
من به رنگ تو ندیدم هیچ کس را در جهان \ بر تو عاشق باد هر کو در جهان همرنگ تست,khaghani
ماه شب گمرهان عارض زیبای تست \ سرو دل عاشقان قامت رعنای تست,khaghani
همت کروبیان شعبده دست تست \ سرمه روحانیان خاک کف پای تست,khaghani
رای همه زیرکان بسته تقدیر تست \ جان همه عاشقان سغبه سودای تست,sanaee
وصل تو سیمرغ گشت بر سر کوی عدم \ خاطر بی خاطران مسکن و ماوای تست,khaghani
بر فلک چارمین عیسی موقوف را \ وقت خروج آمدست منتظر رای تست,sanaee
موسا چون مست گشت عربده آغاز کرد \ صبر به غایت رسید وقت تجلای تست,sanaee
بر دوزخ هم کفر و هم ایمان تراست \ بر دو لب هم درد و هم درمان تراست,sanaee
گر دو صد یعقوب داری زیبدت \ کانچه یوسف داشت صد چندان تراست,khaghani
خنده تو چون دم عیساست کو \ هر چه در لب داشت در دندان تراست,khaghani
چند گویی کان و کان یک ره ببین \ کانچه در کانست در ارکان تراست,saadi
چند گویی جان و جان یک دم بخند \ کانچه در جانست در مرجان تراست,sanaee
از لطیفی آنت جان خواند از آنک \ هر چه آنرا خواند جان بتوان تراست,sanaee
هر زمان گویی همی چوگان من \ گوی از آن کیست گر چوگان تراست,saadi
چون همی دانی که میدان آن تست \ گوی هم می دان که در میدان تراست,saadi
بنده گر خوبست گر زشت آن تست \ عاشق ار دانا و گر نادان تراست,khaghani
صورت ار با تو نباشد گو مباش \ خاک بر سر جسم را چون جان تراست,sanaee
من ترا هرگز بنگذارم ولیک \ گر تو بگذاری مرا فرمان تراست,khaghani
هیچ مرغ آسان سنایی را نیافت \ دولتی مرغی که این آسان تر است,khaghani
تا بدیدم بتکده بی بت دلم آتشکدست \ فرقت نامهربانی آتشم در جان ز دست,sanaee
هر که پیش آید مرا گوید چه پیش آمد ترا \ بر فراق من بگرید گوید این مسکین شدست,saadi
ای فراق از من چه خواهی چون بنفروشی مرا \ جای دیگر ساز منزل نه جهان تنگ آمدست,sanaee
تا مگر سنگین دلت را رحمت آید بر دلم \ سنگ را رحمت نباشد این حدیثی بیهدست,saadi
ای صنم در دلبری هم دست و هم دستان تراست \ بر دل و جان پادشاهی هم دل و هم جان تراست,sanaee
هم حیات از لب نمودن هم شفا از رخ چو حور \ با دم عیسی و دست موسی عمران تراست,khaghani
در سر زلف نشان از ظلمت اهریمنست \ بر دو رخ از نور یزدان حجت و برهان تراست,sanaee
ای چراغ دل نمی دانی که اندر وصل و هجر \ دوزخ بی مالک و فردوس بی رضوان تراست,khaghani
در میان اهل دین و اهل کفر این شور چیست \ گر مسلم بر دو رخ هم کفر و هم ایمان تراست,sanaee
از جمال و از بهایت خیره گردد سرو و مه \ سرو بستانی تو داری ماه بی کیوان تراست,sanaee
آنچه بت گر کرد و جادو دید جانا باطل است \ در دو مرجان و دو نرگس کار این و آن تراست,saadi
گر من از حواری جنت یاد نارم شایدم \ کانچه حورالعین جنت داشت صد چندان تراست,sanaee
از همه خوبان عالم گوی بردی شاد باش \ داوری حاجت نیاید ای صنم فرمان تراست,saadi
در همه جایی سنایی چاکر و مولای تست \ گر برانی ور بخوانی ای صنم فرمان تراست,sanaee
این چنین صیدی که در دام تو آمد کس ندید \ گوی گردون بس که اکنون نوبت میدان تراست,sanaee
هر زمان از عشق جانانم وفایی دیگرست \ گر چه او را هر نفس بر من جفایی دیگرست,sanaee
من برو ساعت به ساعت فتنه زانم کز جمال \ هر زمان او را به من از نو عنایی دیگرست,saadi
گر قضا مستولی و قادر شود بر هر کسی \ بر من بیچاره عشق او قضایی دیگرست,sanaee
باد زلفش از خوشی می آورد بوی عبیر \ خاک پایش از عزیزی توتیایی دیگرست,sanaee
از لطیفی آفتاب دیگرست آن دلفریب \ از ضعیفی عاشقش گویی هبایی دیگرست,sanaee
یک زمان از رنج هجرانش دلم خالی مباد \ کو مرا جز وصل او راحت فزایی دیگرست,khaghani
راه عشق از روی عقل از بهر آن بس مشکلست \ کان نه راه صورت و پایست کان راه دلست,sanaee
بر بساط عاشقی از روی اخلاص و یقین \ چون ببازی جان و تن مقصود آنگه حاصلست,saadi
زینهار از روی غفلت این سخن بازی مدان \ زان که سر در باختن در عشق اول منزلست,sanaee
فرق کن در راه معنی کار دل با کار گل \ کاین که تو مشغول آنی ای پسر کار گلست,saadi
ای پر در گوش من ز چنگت \ وی پر گل چشم من زرنگت,sanaee
